Type;Variable;Group;Week;Year;Age;Vax_status;Value
antal;cases;notprevpos;52;2021;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;51;2021;6-11;Ingen vaccination;3365,0
antal;cases;notprevpos;51;2021;6-11;Første vaccination;2188,0
antal;cases;notprevpos;51;2021;6-11;Anden vaccination;31,0
antal;cases;notprevpos;51;2021;6-11;Fuld effekt efter primært forløb;0,0
antal;cases;notprevpos;51;2021;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;50;2021;6-11;Ingen vaccination;7209,0
antal;cases;notprevpos;50;2021;6-11;Første vaccination;2857,0
antal;cases;notprevpos;50;2021;6-11;Anden vaccination;0,0
antal;cases;notprevpos;50;2021;6-11;Fuld effekt efter primært forløb;0,0
antal;cases;notprevpos;50;2021;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;49;2021;6-11;Ingen vaccination;8288,0
antal;cases;notprevpos;49;2021;6-11;Første vaccination;1190,0
antal;cases;notprevpos;49;2021;6-11;Anden vaccination;0,0
antal;cases;notprevpos;49;2021;6-11;Fuld effekt efter primært forløb;0,0
antal;cases;notprevpos;49;2021;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;48;2021;6-11;Ingen vaccination;7068,0
antal;cases;notprevpos;48;2021;6-11;Første vaccination;132,0
antal;cases;notprevpos;48;2021;6-11;Anden vaccination;0,0
antal;cases;notprevpos;48;2021;6-11;Fuld effekt efter primært forløb;0,0
antal;cases;notprevpos;48;2021;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;47;2021;6-11;Ingen vaccination;6154,0
antal;cases;notprevpos;47;2021;6-11;Første vaccination;0,0
antal;cases;notprevpos;47;2021;6-11;Anden vaccination;0,0
antal;cases;notprevpos;47;2021;6-11;Fuld effekt efter primært forløb;0,0
antal;cases;notprevpos;47;2021;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;10;2022;12-15;Ingen vaccination;173,0
antal;cases;notprevpos;10;2022;12-15;Første vaccination;19,0
antal;cases;notprevpos;10;2022;12-15;Anden vaccination;1833,0
antal;cases;notprevpos;10;2022;12-15;Fuld effekt efter primært forløb;1824,0
antal;cases;notprevpos;10;2022;12-15;Fuld effekt efter revaccination;9,0
antal;cases;notprevpos;9;2022;12-15;Ingen vaccination;310,0
antal;cases;notprevpos;9;2022;12-15;Første vaccination;28,0
antal;cases;notprevpos;9;2022;12-15;Anden vaccination;2750,0
antal;cases;notprevpos;9;2022;12-15;Fuld effekt efter primært forløb;2741,0
antal;cases;notprevpos;9;2022;12-15;Fuld effekt efter revaccination;8,0
antal;cases;notprevpos;8;2022;12-15;Ingen vaccination;406,0
antal;cases;notprevpos;8;2022;12-15;Første vaccination;48,0
antal;cases;notprevpos;8;2022;12-15;Anden vaccination;4069,0
antal;cases;notprevpos;8;2022;12-15;Fuld effekt efter primært forløb;4045,0
antal;cases;notprevpos;8;2022;12-15;Fuld effekt efter revaccination;17,0
antal;cases;notprevpos;7;2022;12-15;Ingen vaccination;1009,0
antal;cases;notprevpos;7;2022;12-15;Første vaccination;100,0
antal;cases;notprevpos;7;2022;12-15;Anden vaccination;7882,0
antal;cases;notprevpos;7;2022;12-15;Fuld effekt efter primært forløb;7836,0
antal;cases;notprevpos;7;2022;12-15;Fuld effekt efter revaccination;31,0
antal;cases;notprevpos;6;2022;12-15;Ingen vaccination;2241,0
antal;cases;notprevpos;6;2022;12-15;Første vaccination;232,0
antal;cases;notprevpos;6;2022;12-15;Anden vaccination;15719,0
antal;cases;notprevpos;6;2022;12-15;Fuld effekt efter primært forløb;15633,0
antal;cases;notprevpos;6;2022;12-15;Fuld effekt efter revaccination;26,0
antal;cases;notprevpos;5;2022;12-15;Ingen vaccination;3683,0
antal;cases;notprevpos;5;2022;12-15;Første vaccination;417,0
antal;cases;notprevpos;5;2022;12-15;Anden vaccination;22585,0
antal;cases;notprevpos;5;2022;12-15;Fuld effekt efter primært forløb;22373,0
antal;cases;notprevpos;5;2022;12-15;Fuld effekt efter revaccination;45,0
antal;cases;notprevpos;4;2022;12-15;Ingen vaccination;4696,0
antal;cases;notprevpos;4;2022;12-15;Første vaccination;665,0
antal;cases;notprevpos;4;2022;12-15;Anden vaccination;25978,0
antal;cases;notprevpos;4;2022;12-15;Fuld effekt efter primært forløb;25637,0
antal;cases;notprevpos;4;2022;12-15;Fuld effekt efter revaccination;40,0
antal;cases;notprevpos;3;2022;12-15;Ingen vaccination;5019,0
antal;cases;notprevpos;3;2022;12-15;Første vaccination;891,0
antal;cases;notprevpos;3;2022;12-15;Anden vaccination;24572,0
antal;cases;notprevpos;3;2022;12-15;Fuld effekt efter primært forløb;24058,0
antal;cases;notprevpos;3;2022;12-15;Fuld effekt efter revaccination;28,0
antal;cases;notprevpos;2;2022;12-15;Ingen vaccination;3316,0
antal;cases;notprevpos;2;2022;12-15;Første vaccination;647,0
antal;cases;notprevpos;2;2022;12-15;Anden vaccination;13344,0
antal;cases;notprevpos;2;2022;12-15;Fuld effekt efter primært forløb;12967,0
antal;cases;notprevpos;2;2022;12-15;Fuld effekt efter revaccination;8,0
antal;cases;notprevpos;1;2022;12-15;Ingen vaccination;1952,0
antal;cases;notprevpos;1;2022;12-15;Første vaccination;403,0
antal;cases;notprevpos;1;2022;12-15;Anden vaccination;6114,0
antal;cases;notprevpos;1;2022;12-15;Fuld effekt efter primært forløb;5975,0
antal;cases;notprevpos;1;2022;12-15;Fuld effekt efter revaccination;3,0
antal;cases;notprevpos;52;2021;12-15;Ingen vaccination;1396,0
antal;cases;notprevpos;52;2021;12-15;Første vaccination;371,0
antal;cases;notprevpos;52;2021;12-15;Anden vaccination;4535,0
antal;cases;notprevpos;52;2021;12-15;Fuld effekt efter primært forløb;4412,0
antal;cases;notprevpos;52;2021;12-15;Fuld effekt efter revaccination;2,0
antal;cases;notprevpos;51;2021;12-15;Ingen vaccination;1005,0
antal;cases;notprevpos;51;2021;12-15;Første vaccination;237,0
antal;cases;notprevpos;51;2021;12-15;Anden vaccination;2522,0
antal;cases;notprevpos;51;2021;12-15;Fuld effekt efter primært forløb;2422,0
antal;cases;notprevpos;51;2021;12-15;Fuld effekt efter revaccination;2,0
antal;cases;notprevpos;50;2021;12-15;Ingen vaccination;1370,0
antal;cases;notprevpos;50;2021;12-15;Første vaccination;308,0
antal;cases;notprevpos;50;2021;12-15;Anden vaccination;2055,0
antal;cases;notprevpos;50;2021;12-15;Fuld effekt efter primært forløb;1991,0
antal;cases;notprevpos;50;2021;12-15;Fuld effekt efter revaccination;1,0
antal;cases;notprevpos;49;2021;12-15;Ingen vaccination;1322,0
antal;cases;notprevpos;49;2021;12-15;Første vaccination;243,0
antal;cases;notprevpos;49;2021;12-15;Anden vaccination;795,0
antal;cases;notprevpos;49;2021;12-15;Fuld effekt efter primært forløb;750,0
antal;cases;notprevpos;49;2021;12-15;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;48;2021;12-15;Ingen vaccination;1022,0
antal;cases;notprevpos;48;2021;12-15;Første vaccination;176,0
antal;cases;notprevpos;48;2021;12-15;Anden vaccination;424,0
antal;cases;notprevpos;48;2021;12-15;Fuld effekt efter primært forløb;414,0
antal;cases;notprevpos;48;2021;12-15;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;47;2021;12-15;Ingen vaccination;958,0
antal;cases;notprevpos;47;2021;12-15;Første vaccination;153,0
antal;cases;notprevpos;47;2021;12-15;Anden vaccination;357,0
antal;cases;notprevpos;47;2021;12-15;Fuld effekt efter primært forløb;334,0
antal;cases;notprevpos;47;2021;12-15;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;10;2022;16-19;Ingen vaccination;112,0
antal;cases;notprevpos;10;2022;16-19;Første vaccination;10,0
antal;cases;notprevpos;10;2022;16-19;Anden vaccination;1978,0
antal;cases;notprevpos;10;2022;16-19;Fuld effekt efter primært forløb;1026,0
antal;cases;notprevpos;10;2022;16-19;Fuld effekt efter revaccination;951,0
antal;cases;notprevpos;9;2022;16-19;Ingen vaccination;167,0
antal;cases;notprevpos;9;2022;16-19;Første vaccination;13,0
antal;cases;notprevpos;9;2022;16-19;Anden vaccination;2996,0
antal;cases;notprevpos;9;2022;16-19;Fuld effekt efter primært forløb;1520,0
antal;cases;notprevpos;9;2022;16-19;Fuld effekt efter revaccination;1475,0
antal;cases;notprevpos;8;2022;16-19;Ingen vaccination;242,0
antal;cases;notprevpos;8;2022;16-19;Første vaccination;26,0
antal;cases;notprevpos;8;2022;16-19;Anden vaccination;4732,0
antal;cases;notprevpos;8;2022;16-19;Fuld effekt efter primært forløb;2323,0
antal;cases;notprevpos;8;2022;16-19;Fuld effekt efter revaccination;2406,0
antal;cases;notprevpos;7;2022;16-19;Ingen vaccination;563,0
antal;cases;notprevpos;7;2022;16-19;Første vaccination;59,0
antal;cases;notprevpos;7;2022;16-19;Anden vaccination;9153,0
antal;cases;notprevpos;7;2022;16-19;Fuld effekt efter primært forløb;4849,0
antal;cases;notprevpos;7;2022;16-19;Fuld effekt efter revaccination;4300,0
antal;cases;notprevpos;6;2022;16-19;Ingen vaccination;1163,0
antal;cases;notprevpos;6;2022;16-19;Første vaccination;137,0
antal;cases;notprevpos;6;2022;16-19;Anden vaccination;17673,0
antal;cases;notprevpos;6;2022;16-19;Fuld effekt efter primært forløb;9964,0
antal;cases;notprevpos;6;2022;16-19;Fuld effekt efter revaccination;7691,0
antal;cases;notprevpos;5;2022;16-19;Ingen vaccination;1185,0
antal;cases;notprevpos;5;2022;16-19;Første vaccination;138,0
antal;cases;notprevpos;5;2022;16-19;Anden vaccination;15741,0
antal;cases;notprevpos;5;2022;16-19;Fuld effekt efter primært forløb;11318,0
antal;cases;notprevpos;5;2022;16-19;Fuld effekt efter revaccination;4398,0
antal;cases;notprevpos;4;2022;16-19;Ingen vaccination;1534,0
antal;cases;notprevpos;4;2022;16-19;Første vaccination;206,0
antal;cases;notprevpos;4;2022;16-19;Anden vaccination;18192,0
antal;cases;notprevpos;4;2022;16-19;Fuld effekt efter primært forløb;13976,0
antal;cases;notprevpos;4;2022;16-19;Fuld effekt efter revaccination;4154,0
antal;cases;notprevpos;3;2022;16-19;Ingen vaccination;1620,0
antal;cases;notprevpos;3;2022;16-19;Første vaccination;226,0
antal;cases;notprevpos;3;2022;16-19;Anden vaccination;21164,0
antal;cases;notprevpos;3;2022;16-19;Fuld effekt efter primært forløb;17903,0
antal;cases;notprevpos;3;2022;16-19;Fuld effekt efter revaccination;3163,0
antal;cases;notprevpos;2;2022;16-19;Ingen vaccination;1338,0
antal;cases;notprevpos;2;2022;16-19;Første vaccination;201,0
antal;cases;notprevpos;2;2022;16-19;Anden vaccination;14345,0
antal;cases;notprevpos;2;2022;16-19;Fuld effekt efter primært forløb;12870,0
antal;cases;notprevpos;2;2022;16-19;Fuld effekt efter revaccination;1389,0
antal;cases;notprevpos;1;2022;16-19;Ingen vaccination;1382,0
antal;cases;notprevpos;1;2022;16-19;Første vaccination;239,0
antal;cases;notprevpos;1;2022;16-19;Anden vaccination;13755,0
antal;cases;notprevpos;1;2022;16-19;Fuld effekt efter primært forløb;13201,0
antal;cases;notprevpos;1;2022;16-19;Fuld effekt efter revaccination;470,0
antal;cases;notprevpos;52;2021;16-19;Ingen vaccination;846,0
antal;cases;notprevpos;52;2021;16-19;Første vaccination;172,0
antal;cases;notprevpos;52;2021;16-19;Anden vaccination;7744,0
antal;cases;notprevpos;52;2021;16-19;Fuld effekt efter primært forløb;7629,0
antal;cases;notprevpos;52;2021;16-19;Fuld effekt efter revaccination;61,0
antal;cases;notprevpos;51;2021;16-19;Ingen vaccination;584,0
antal;cases;notprevpos;51;2021;16-19;Første vaccination;106,0
antal;cases;notprevpos;51;2021;16-19;Anden vaccination;5673,0
antal;cases;notprevpos;51;2021;16-19;Fuld effekt efter primært forløb;5617,0
antal;cases;notprevpos;51;2021;16-19;Fuld effekt efter revaccination;17,0
antal;cases;notprevpos;50;2021;16-19;Ingen vaccination;597,0
antal;cases;notprevpos;50;2021;16-19;Første vaccination;117,0
antal;cases;notprevpos;50;2021;16-19;Anden vaccination;4554,0
antal;cases;notprevpos;50;2021;16-19;Fuld effekt efter primært forløb;4522,0
antal;cases;notprevpos;50;2021;16-19;Fuld effekt efter revaccination;7,0
antal;cases;notprevpos;49;2021;16-19;Ingen vaccination;534,0
antal;cases;notprevpos;49;2021;16-19;Første vaccination;86,0
antal;cases;notprevpos;49;2021;16-19;Anden vaccination;1743,0
antal;cases;notprevpos;49;2021;16-19;Fuld effekt efter primært forløb;1729,0
antal;cases;notprevpos;49;2021;16-19;Fuld effekt efter revaccination;1,0
antal;cases;notprevpos;48;2021;16-19;Ingen vaccination;459,0
antal;cases;notprevpos;48;2021;16-19;Første vaccination;71,0
antal;cases;notprevpos;48;2021;16-19;Anden vaccination;966,0
antal;cases;notprevpos;48;2021;16-19;Fuld effekt efter primært forløb;958,0
antal;cases;notprevpos;48;2021;16-19;Fuld effekt efter revaccination;2,0
antal;cases;notprevpos;47;2021;16-19;Ingen vaccination;403,0
antal;cases;notprevpos;47;2021;16-19;Første vaccination;63,0
antal;cases;notprevpos;47;2021;16-19;Anden vaccination;638,0
antal;cases;notprevpos;47;2021;16-19;Fuld effekt efter primært forløb;633,0
antal;cases;notprevpos;47;2021;16-19;Fuld effekt efter revaccination;2,0
antal;cases;notprevpos;10;2022;20-29;Ingen vaccination;930,0
antal;cases;notprevpos;10;2022;20-29;Første vaccination;101,0
antal;cases;notprevpos;10;2022;20-29;Anden vaccination;7651,0
antal;cases;notprevpos;10;2022;20-29;Fuld effekt efter primært forløb;1741,0
antal;cases;notprevpos;10;2022;20-29;Fuld effekt efter revaccination;5908,0
antal;cases;notprevpos;9;2022;20-29;Ingen vaccination;1284,0
antal;cases;notprevpos;9;2022;20-29;Første vaccination;162,0
antal;cases;notprevpos;9;2022;20-29;Anden vaccination;10536,0
antal;cases;notprevpos;9;2022;20-29;Fuld effekt efter primært forløb;2478,0
antal;cases;notprevpos;9;2022;20-29;Fuld effekt efter revaccination;8050,0
antal;cases;notprevpos;8;2022;20-29;Ingen vaccination;1997,0
antal;cases;notprevpos;8;2022;20-29;Første vaccination;219,0
antal;cases;notprevpos;8;2022;20-29;Anden vaccination;17327,0
antal;cases;notprevpos;8;2022;20-29;Fuld effekt efter primært forløb;4213,0
antal;cases;notprevpos;8;2022;20-29;Fuld effekt efter revaccination;13088,0
antal;cases;notprevpos;7;2022;20-29;Ingen vaccination;3906,0
antal;cases;notprevpos;7;2022;20-29;Første vaccination;433,0
antal;cases;notprevpos;7;2022;20-29;Anden vaccination;30515,0
antal;cases;notprevpos;7;2022;20-29;Fuld effekt efter primært forløb;8100,0
antal;cases;notprevpos;7;2022;20-29;Fuld effekt efter revaccination;22366,0
antal;cases;notprevpos;6;2022;20-29;Ingen vaccination;6019,0
antal;cases;notprevpos;6;2022;20-29;Første vaccination;737,0
antal;cases;notprevpos;6;2022;20-29;Anden vaccination;44533,0
antal;cases;notprevpos;6;2022;20-29;Fuld effekt efter primært forløb;12894,0
antal;cases;notprevpos;6;2022;20-29;Fuld effekt efter revaccination;31546,0
antal;cases;notprevpos;5;2022;20-29;Ingen vaccination;4917,0
antal;cases;notprevpos;5;2022;20-29;Første vaccination;567,0
antal;cases;notprevpos;5;2022;20-29;Anden vaccination;28763,0
antal;cases;notprevpos;5;2022;20-29;Fuld effekt efter primært forløb;10576,0
antal;cases;notprevpos;5;2022;20-29;Fuld effekt efter revaccination;18083,0
antal;cases;notprevpos;4;2022;20-29;Ingen vaccination;5092,0
antal;cases;notprevpos;4;2022;20-29;Første vaccination;656,0
antal;cases;notprevpos;4;2022;20-29;Anden vaccination;25512,0
antal;cases;notprevpos;4;2022;20-29;Fuld effekt efter primært forløb;13071,0
antal;cases;notprevpos;4;2022;20-29;Fuld effekt efter revaccination;12278,0
antal;cases;notprevpos;3;2022;20-29;Ingen vaccination;5200,0
antal;cases;notprevpos;3;2022;20-29;Første vaccination;708,0
antal;cases;notprevpos;3;2022;20-29;Anden vaccination;23287,0
antal;cases;notprevpos;3;2022;20-29;Fuld effekt efter primært forløb;15302,0
antal;cases;notprevpos;3;2022;20-29;Fuld effekt efter revaccination;7773,0
antal;cases;notprevpos;2;2022;20-29;Ingen vaccination;4092,0
antal;cases;notprevpos;2;2022;20-29;Første vaccination;587,0
antal;cases;notprevpos;2;2022;20-29;Anden vaccination;17857,0
antal;cases;notprevpos;2;2022;20-29;Fuld effekt efter primært forløb;14030,0
antal;cases;notprevpos;2;2022;20-29;Fuld effekt efter revaccination;3628,0
antal;cases;notprevpos;1;2022;20-29;Ingen vaccination;4693,0
antal;cases;notprevpos;1;2022;20-29;Første vaccination;869,0
antal;cases;notprevpos;1;2022;20-29;Anden vaccination;23988,0
antal;cases;notprevpos;1;2022;20-29;Fuld effekt efter primært forløb;21793,0
antal;cases;notprevpos;1;2022;20-29;Fuld effekt efter revaccination;1988,0
antal;cases;notprevpos;52;2021;20-29;Ingen vaccination;3883,0
antal;cases;notprevpos;52;2021;20-29;Første vaccination;792,0
antal;cases;notprevpos;52;2021;20-29;Anden vaccination;20276,0
antal;cases;notprevpos;52;2021;20-29;Fuld effekt efter primært forløb;19047,0
antal;cases;notprevpos;52;2021;20-29;Fuld effekt efter revaccination;1008,0
antal;cases;notprevpos;51;2021;20-29;Ingen vaccination;2243,0
antal;cases;notprevpos;51;2021;20-29;Første vaccination;501,0
antal;cases;notprevpos;51;2021;20-29;Anden vaccination;12960,0
antal;cases;notprevpos;51;2021;20-29;Fuld effekt efter primært forløb;12285,0
antal;cases;notprevpos;51;2021;20-29;Fuld effekt efter revaccination;485,0
antal;cases;notprevpos;50;2021;20-29;Ingen vaccination;2278,0
antal;cases;notprevpos;50;2021;20-29;Første vaccination;522,0
antal;cases;notprevpos;50;2021;20-29;Anden vaccination;11003,0
antal;cases;notprevpos;50;2021;20-29;Fuld effekt efter primært forløb;10583,0
antal;cases;notprevpos;50;2021;20-29;Fuld effekt efter revaccination;300,0
antal;cases;notprevpos;49;2021;20-29;Ingen vaccination;1805,0
