Type;Variable;Group;Week;Year;Age;Vax_status;Value
antal;cases;notprevpos;2;2022;0-5;Fuld effekt efter primært forløb;20,0
antal;cases;notprevpos;2;2022;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;1;2022;0-5;Ingen vaccination;7107,0
antal;cases;notprevpos;1;2022;0-5;Første vaccination;348,0
antal;cases;notprevpos;1;2022;0-5;Anden vaccination;52,0
antal;cases;notprevpos;1;2022;0-5;Fuld effekt efter primært forløb;1,0
antal;cases;notprevpos;1;2022;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;52;2021;0-5;Ingen vaccination;4863,0
antal;cases;notprevpos;52;2021;0-5;Første vaccination;257,0
antal;cases;notprevpos;52;2021;0-5;Anden vaccination;0,0
antal;cases;notprevpos;52;2021;0-5;Fuld effekt efter primært forløb;0,0
antal;cases;notprevpos;52;2021;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;51;2021;0-5;Ingen vaccination;3127,0
antal;cases;notprevpos;51;2021;0-5;Første vaccination;135,0
antal;cases;notprevpos;51;2021;0-5;Anden vaccination;0,0
antal;cases;notprevpos;51;2021;0-5;Fuld effekt efter primært forløb;0,0
antal;cases;notprevpos;51;2021;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;50;2021;0-5;Ingen vaccination;3208,0
antal;cases;notprevpos;50;2021;0-5;Første vaccination;81,0
antal;cases;notprevpos;50;2021;0-5;Anden vaccination;0,0
antal;cases;notprevpos;50;2021;0-5;Fuld effekt efter primært forløb;0,0
antal;cases;notprevpos;50;2021;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;49;2021;0-5;Ingen vaccination;2511,0
antal;cases;notprevpos;49;2021;0-5;Første vaccination;9,0
antal;cases;notprevpos;49;2021;0-5;Anden vaccination;0,0
antal;cases;notprevpos;49;2021;0-5;Fuld effekt efter primært forløb;0,0
antal;cases;notprevpos;49;2021;0-5;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;12;2022;6-11;Ingen vaccination;114,0
antal;cases;notprevpos;12;2022;6-11;Første vaccination;12,0
antal;cases;notprevpos;12;2022;6-11;Anden vaccination;250,0
antal;cases;notprevpos;12;2022;6-11;Fuld effekt efter primært forløb;250,0
antal;cases;notprevpos;12;2022;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;11;2022;6-11;Ingen vaccination;221,0
antal;cases;notprevpos;11;2022;6-11;Første vaccination;36,0
antal;cases;notprevpos;11;2022;6-11;Anden vaccination;458,0
antal;cases;notprevpos;11;2022;6-11;Fuld effekt efter primært forløb;458,0
antal;cases;notprevpos;11;2022;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;10;2022;6-11;Ingen vaccination;555,0
antal;cases;notprevpos;10;2022;6-11;Første vaccination;77,0
antal;cases;notprevpos;10;2022;6-11;Anden vaccination;1146,0
antal;cases;notprevpos;10;2022;6-11;Fuld effekt efter primært forløb;1140,0
antal;cases;notprevpos;10;2022;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;9;2022;6-11;Ingen vaccination;913,0
antal;cases;notprevpos;9;2022;6-11;Første vaccination;142,0
antal;cases;notprevpos;9;2022;6-11;Anden vaccination;2012,0
antal;cases;notprevpos;9;2022;6-11;Fuld effekt efter primært forløb;2005,0
antal;cases;notprevpos;9;2022;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;8;2022;6-11;Ingen vaccination;1470,0
antal;cases;notprevpos;8;2022;6-11;Første vaccination;197,0
antal;cases;notprevpos;8;2022;6-11;Anden vaccination;2732,0
antal;cases;notprevpos;8;2022;6-11;Fuld effekt efter primært forløb;2723,0
antal;cases;notprevpos;8;2022;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;7;2022;6-11;Ingen vaccination;3352,0
antal;cases;notprevpos;7;2022;6-11;Første vaccination;464,0
antal;cases;notprevpos;7;2022;6-11;Anden vaccination;5684,0
antal;cases;notprevpos;7;2022;6-11;Fuld effekt efter primært forløb;5603,0
antal;cases;notprevpos;7;2022;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;6;2022;6-11;Ingen vaccination;8184,0
antal;cases;notprevpos;6;2022;6-11;Første vaccination;1228,0
antal;cases;notprevpos;6;2022;6-11;Anden vaccination;10983,0
antal;cases;notprevpos;6;2022;6-11;Fuld effekt efter primært forløb;10563,0
antal;cases;notprevpos;6;2022;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;5;2022;6-11;Ingen vaccination;13035,0
antal;cases;notprevpos;5;2022;6-11;Første vaccination;2112,0
antal;cases;notprevpos;5;2022;6-11;Anden vaccination;14722,0
antal;cases;notprevpos;5;2022;6-11;Fuld effekt efter primært forløb;13400,0
antal;cases;notprevpos;5;2022;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;4;2022;6-11;Ingen vaccination;17229,0
antal;cases;notprevpos;4;2022;6-11;Første vaccination;3624,0
antal;cases;notprevpos;4;2022;6-11;Anden vaccination;15344,0
antal;cases;notprevpos;4;2022;6-11;Fuld effekt efter primært forløb;12497,0
antal;cases;notprevpos;4;2022;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;3;2022;6-11;Ingen vaccination;19141,0
antal;cases;notprevpos;3;2022;6-11;Første vaccination;5431,0
antal;cases;notprevpos;3;2022;6-11;Anden vaccination;13242,0
antal;cases;notprevpos;3;2022;6-11;Fuld effekt efter primært forløb;7274,0
antal;cases;notprevpos;3;2022;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;2;2022;6-11;Ingen vaccination;12332,0
antal;cases;notprevpos;2;2022;6-11;Første vaccination;4907,0
antal;cases;notprevpos;2;2022;6-11;Anden vaccination;6130,0
antal;cases;notprevpos;2;2022;6-11;Fuld effekt efter primært forløb;1456,0
antal;cases;notprevpos;2;2022;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;1;2022;6-11;Ingen vaccination;5210,0
antal;cases;notprevpos;1;2022;6-11;Første vaccination;2837,0
antal;cases;notprevpos;1;2022;6-11;Anden vaccination;1068,0
antal;cases;notprevpos;1;2022;6-11;Fuld effekt efter primært forløb;68,0
antal;cases;notprevpos;1;2022;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;52;2021;6-11;Ingen vaccination;4548,0
antal;cases;notprevpos;52;2021;6-11;Første vaccination;3097,0
antal;cases;notprevpos;52;2021;6-11;Anden vaccination;309,0
antal;cases;notprevpos;52;2021;6-11;Fuld effekt efter primært forløb;2,0
antal;cases;notprevpos;52;2021;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;51;2021;6-11;Ingen vaccination;3365,0
antal;cases;notprevpos;51;2021;6-11;Første vaccination;2188,0
antal;cases;notprevpos;51;2021;6-11;Anden vaccination;31,0
antal;cases;notprevpos;51;2021;6-11;Fuld effekt efter primært forløb;0,0
antal;cases;notprevpos;51;2021;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;50;2021;6-11;Ingen vaccination;7209,0
antal;cases;notprevpos;50;2021;6-11;Første vaccination;2857,0
antal;cases;notprevpos;50;2021;6-11;Anden vaccination;0,0
antal;cases;notprevpos;50;2021;6-11;Fuld effekt efter primært forløb;0,0
antal;cases;notprevpos;50;2021;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;49;2021;6-11;Ingen vaccination;8287,0
antal;cases;notprevpos;49;2021;6-11;Første vaccination;1190,0
antal;cases;notprevpos;49;2021;6-11;Anden vaccination;0,0
antal;cases;notprevpos;49;2021;6-11;Fuld effekt efter primært forløb;0,0
antal;cases;notprevpos;49;2021;6-11;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;12;2022;12-15;Ingen vaccination;43,0
antal;cases;notprevpos;12;2022;12-15;Første vaccination;3,0
antal;cases;notprevpos;12;2022;12-15;Anden vaccination;462,0
antal;cases;notprevpos;12;2022;12-15;Fuld effekt efter primært forløb;460,0
antal;cases;notprevpos;12;2022;12-15;Fuld effekt efter revaccination;1,0
antal;cases;notprevpos;11;2022;12-15;Ingen vaccination;91,0
antal;cases;notprevpos;11;2022;12-15;Første vaccination;1,0
antal;cases;notprevpos;11;2022;12-15;Anden vaccination;809,0
antal;cases;notprevpos;11;2022;12-15;Fuld effekt efter primært forløb;804,0
antal;cases;notprevpos;11;2022;12-15;Fuld effekt efter revaccination;5,0
antal;cases;notprevpos;10;2022;12-15;Ingen vaccination;173,0
antal;cases;notprevpos;10;2022;12-15;Første vaccination;19,0
antal;cases;notprevpos;10;2022;12-15;Anden vaccination;1833,0
antal;cases;notprevpos;10;2022;12-15;Fuld effekt efter primært forløb;1824,0
antal;cases;notprevpos;10;2022;12-15;Fuld effekt efter revaccination;9,0
antal;cases;notprevpos;9;2022;12-15;Ingen vaccination;310,0
antal;cases;notprevpos;9;2022;12-15;Første vaccination;28,0
antal;cases;notprevpos;9;2022;12-15;Anden vaccination;2750,0
antal;cases;notprevpos;9;2022;12-15;Fuld effekt efter primært forløb;2741,0
antal;cases;notprevpos;9;2022;12-15;Fuld effekt efter revaccination;8,0
antal;cases;notprevpos;8;2022;12-15;Ingen vaccination;405,0
antal;cases;notprevpos;8;2022;12-15;Første vaccination;48,0
antal;cases;notprevpos;8;2022;12-15;Anden vaccination;4069,0
antal;cases;notprevpos;8;2022;12-15;Fuld effekt efter primært forløb;4045,0
antal;cases;notprevpos;8;2022;12-15;Fuld effekt efter revaccination;17,0
antal;cases;notprevpos;7;2022;12-15;Ingen vaccination;1009,0
antal;cases;notprevpos;7;2022;12-15;Første vaccination;100,0
antal;cases;notprevpos;7;2022;12-15;Anden vaccination;7882,0
antal;cases;notprevpos;7;2022;12-15;Fuld effekt efter primært forløb;7837,0
antal;cases;notprevpos;7;2022;12-15;Fuld effekt efter revaccination;30,0
antal;cases;notprevpos;6;2022;12-15;Ingen vaccination;2240,0
antal;cases;notprevpos;6;2022;12-15;Første vaccination;232,0
antal;cases;notprevpos;6;2022;12-15;Anden vaccination;15720,0
antal;cases;notprevpos;6;2022;12-15;Fuld effekt efter primært forløb;15634,0
antal;cases;notprevpos;6;2022;12-15;Fuld effekt efter revaccination;26,0
antal;cases;notprevpos;5;2022;12-15;Ingen vaccination;3683,0
antal;cases;notprevpos;5;2022;12-15;Første vaccination;417,0
antal;cases;notprevpos;5;2022;12-15;Anden vaccination;22585,0
antal;cases;notprevpos;5;2022;12-15;Fuld effekt efter primært forløb;22373,0
antal;cases;notprevpos;5;2022;12-15;Fuld effekt efter revaccination;45,0
antal;cases;notprevpos;4;2022;12-15;Ingen vaccination;4694,0
antal;cases;notprevpos;4;2022;12-15;Første vaccination;665,0
antal;cases;notprevpos;4;2022;12-15;Anden vaccination;25979,0
antal;cases;notprevpos;4;2022;12-15;Fuld effekt efter primært forløb;25638,0
antal;cases;notprevpos;4;2022;12-15;Fuld effekt efter revaccination;40,0
antal;cases;notprevpos;3;2022;12-15;Ingen vaccination;5017,0
antal;cases;notprevpos;3;2022;12-15;Første vaccination;893,0
antal;cases;notprevpos;3;2022;12-15;Anden vaccination;24573,0
antal;cases;notprevpos;3;2022;12-15;Fuld effekt efter primært forløb;24058,0
antal;cases;notprevpos;3;2022;12-15;Fuld effekt efter revaccination;28,0
antal;cases;notprevpos;2;2022;12-15;Ingen vaccination;3316,0
antal;cases;notprevpos;2;2022;12-15;Første vaccination;647,0
antal;cases;notprevpos;2;2022;12-15;Anden vaccination;13344,0
antal;cases;notprevpos;2;2022;12-15;Fuld effekt efter primært forløb;12967,0
antal;cases;notprevpos;2;2022;12-15;Fuld effekt efter revaccination;8,0
antal;cases;notprevpos;1;2022;12-15;Ingen vaccination;1952,0
antal;cases;notprevpos;1;2022;12-15;Første vaccination;403,0
antal;cases;notprevpos;1;2022;12-15;Anden vaccination;6113,0
antal;cases;notprevpos;1;2022;12-15;Fuld effekt efter primært forløb;5974,0
antal;cases;notprevpos;1;2022;12-15;Fuld effekt efter revaccination;3,0
antal;cases;notprevpos;52;2021;12-15;Ingen vaccination;1396,0
antal;cases;notprevpos;52;2021;12-15;Første vaccination;371,0
antal;cases;notprevpos;52;2021;12-15;Anden vaccination;4534,0
antal;cases;notprevpos;52;2021;12-15;Fuld effekt efter primært forløb;4411,0
antal;cases;notprevpos;52;2021;12-15;Fuld effekt efter revaccination;2,0
antal;cases;notprevpos;51;2021;12-15;Ingen vaccination;1004,0
antal;cases;notprevpos;51;2021;12-15;Første vaccination;238,0
antal;cases;notprevpos;51;2021;12-15;Anden vaccination;2522,0
antal;cases;notprevpos;51;2021;12-15;Fuld effekt efter primært forløb;2422,0
antal;cases;notprevpos;51;2021;12-15;Fuld effekt efter revaccination;2,0
antal;cases;notprevpos;50;2021;12-15;Ingen vaccination;1370,0
antal;cases;notprevpos;50;2021;12-15;Første vaccination;308,0
antal;cases;notprevpos;50;2021;12-15;Anden vaccination;2054,0
antal;cases;notprevpos;50;2021;12-15;Fuld effekt efter primært forløb;1990,0
antal;cases;notprevpos;50;2021;12-15;Fuld effekt efter revaccination;1,0
antal;cases;notprevpos;49;2021;12-15;Ingen vaccination;1322,0
antal;cases;notprevpos;49;2021;12-15;Første vaccination;243,0
antal;cases;notprevpos;49;2021;12-15;Anden vaccination;795,0
antal;cases;notprevpos;49;2021;12-15;Fuld effekt efter primært forløb;750,0
antal;cases;notprevpos;49;2021;12-15;Fuld effekt efter revaccination;0,0
antal;cases;notprevpos;12;2022;16-19;Ingen vaccination;30,0
antal;cases;notprevpos;12;2022;16-19;Første vaccination;4,0
antal;cases;notprevpos;12;2022;16-19;Anden vaccination;498,0
antal;cases;notprevpos;12;2022;16-19;Fuld effekt efter primært forløb;245,0
antal;cases;notprevpos;12;2022;16-19;Fuld effekt efter revaccination;253,0
antal;cases;notprevpos;11;2022;16-19;Ingen vaccination;56,0
antal;cases;notprevpos;11;2022;16-19;Første vaccination;2,0
antal;cases;notprevpos;11;2022;16-19;Anden vaccination;892,0
antal;cases;notprevpos;11;2022;16-19;Fuld effekt efter primært forløb;439,0
antal;cases;notprevpos;11;2022;16-19;Fuld effekt efter revaccination;453,0
antal;cases;notprevpos;10;2022;16-19;Ingen vaccination;112,0
antal;cases;notprevpos;10;2022;16-19;Første vaccination;10,0
antal;cases;notprevpos;10;2022;16-19;Anden vaccination;1978,0
antal;cases;notprevpos;10;2022;16-19;Fuld effekt efter primært forløb;1026,0
antal;cases;notprevpos;10;2022;16-19;Fuld effekt efter revaccination;951,0
antal;cases;notprevpos;9;2022;16-19;Ingen vaccination;167,0
antal;cases;notprevpos;9;2022;16-19;Første vaccination;12,0
antal;cases;notprevpos;9;2022;16-19;Anden vaccination;2997,0
antal;cases;notprevpos;9;2022;16-19;Fuld effekt efter primært forløb;1521,0
antal;cases;notprevpos;9;2022;16-19;Fuld effekt efter revaccination;1475,0
antal;cases;notprevpos;8;2022;16-19;Ingen vaccination;242,0
antal;cases;notprevpos;8;2022;16-19;Første vaccination;26,0
antal;cases;notprevpos;8;2022;16-19;Anden vaccination;4732,0
antal;cases;notprevpos;8;2022;16-19;Fuld effekt efter primært forløb;2323,0
antal;cases;notprevpos;8;2022;16-19;Fuld effekt efter revaccination;2406,0
antal;cases;notprevpos;7;2022;16-19;Ingen vaccination;563,0
antal;cases;notprevpos;7;2022;16-19;Første vaccination;59,0
antal;cases;notprevpos;7;2022;16-19;Anden vaccination;9153,0
antal;cases;notprevpos;7;2022;16-19;Fuld effekt efter primært forløb;4849,0
antal;cases;notprevpos;7;2022;16-19;Fuld effekt efter revaccination;4300,0
antal;cases;notprevpos;6;2022;16-19;Ingen vaccination;1163,0
antal;cases;notprevpos;6;2022;16-19;Første vaccination;137,0
antal;cases;notprevpos;6;2022;16-19;Anden vaccination;17673,0
antal;cases;notprevpos;6;2022;16-19;Fuld effekt efter primært forløb;9964,0
antal;cases;notprevpos;6;2022;16-19;Fuld effekt efter revaccination;7691,0
antal;cases;notprevpos;5;2022;16-19;Ingen vaccination;1185,0
antal;cases;notprevpos;5;2022;16-19;Første vaccination;138,0
antal;cases;notprevpos;5;2022;16-19;Anden vaccination;15739,0
antal;cases;notprevpos;5;2022;16-19;Fuld effekt efter primært forløb;11318,0
antal;cases;notprevpos;5;2022;16-19;Fuld effekt efter revaccination;4396,0
antal;cases;notprevpos;4;2022;16-19;Ingen vaccination;1534,0
antal;cases;notprevpos;4;2022;16-19;Første vaccination;206,0
antal;cases;notprevpos;4;2022;16-19;Anden vaccination;18192,0
antal;cases;notprevpos;4;2022;16-19;Fuld effekt efter primært forløb;13976,0
antal;cases;notprevpos;4;2022;16-19;Fuld effekt efter revaccination;4154,0
antal;cases;notprevpos;3;2022;16-19;Ingen vaccination;1621,0
antal;cases;notprevpos;3;2022;16-19;Første vaccination;226,0
antal;cases;notprevpos;3;2022;16-19;Anden vaccination;21164,0
antal;cases;notprevpos;3;2022;16-19;Fuld effekt efter primært forløb;17903,0
antal;cases;notprevpos;3;2022;16-19;Fuld effekt efter revaccination;3163,0
antal;cases;notprevpos;2;2022;16-19;Ingen vaccination;1338,0
antal;cases;notprevpos;2;2022;16-19;Første vaccination;201,0
antal;cases;notprevpos;2;2022;16-19;Anden vaccination;14345,0
antal;cases;notprevpos;2;2022;16-19;Fuld effekt efter primært forløb;12870,0
antal;cases;notprevpos;2;2022;16-19;Fuld effekt efter revaccination;1389,0
antal;cases;notprevpos;1;2022;16-19;Ingen vaccination;1382,0
antal;cases;notprevpos;1;2022;16-19;Første vaccination;239,0
antal;cases;notprevpos;1;2022;16-19;Anden vaccination;13756,0
antal;cases;notprevpos;1;2022;16-19;Fuld effekt efter primært forløb;13202,0
antal;cases;notprevpos;1;2022;16-19;Fuld effekt efter revaccination;470,0
antal;cases;notprevpos;52;2021;16-19;Ingen vaccination;846,0
antal;cases;notprevpos;52;2021;16-19;Første vaccination;172,0
antal;cases;notprevpos;52;2021;16-19;Anden vaccination;7743,0
antal;cases;notprevpos;52;2021;16-19;Fuld effekt efter primært forløb;7628,0
antal;cases;notprevpos;52;2021;16-19;Fuld effekt efter revaccination;61,0
antal;cases;notprevpos;51;2021;16-19;Ingen vaccination;584,0
antal;cases;notprevpos;51;2021;16-19;Første vaccination;106,0
antal;cases;notprevpos;51;2021;16-19;Anden vaccination;5673,0
antal;cases;notprevpos;51;2021;16-19;Fuld effekt efter primært forløb;5617,0
antal;cases;notprevpos;51;2021;16-19;Fuld effekt efter revaccination;17,0
antal;cases;notprevpos;50;2021;16-19;Ingen vaccination;597,0
antal;cases;notprevpos;50;2021;16-19;Første vaccination;117,0
antal;cases;notprevpos;50;2021;16-19;Anden vaccination;4554,0
antal;cases;notprevpos;50;2021;16-19;Fuld effekt efter primært forløb;4522,0
antal;cases;notprevpos;50;2021;16-19;Fuld effekt efter revaccination;7,0
antal;cases;notprevpos;49;2021;16-19;Ingen vaccination;534,0
antal;cases;notprevpos;49;2021;16-19;Første vaccination;86,0
antal;cases;notprevpos;49;2021;16-19;Anden vaccination;1743,0
antal;cases;notprevpos;49;2021;16-19;Fuld effekt efter primært forløb;1729,0
antal;cases;notprevpos;49;2021;16-19;Fuld effekt efter revaccination;1,0
antal;cases;notprevpos;12;2022;20-29;Ingen vaccination;362,0
antal;cases;notprevpos;12;2022;20-29;Første vaccination;39,0
antal;cases;notprevpos;12;2022;20-29;Anden vaccination;2907,0
antal;cases;notprevpos;12;2022;20-29;Fuld effekt efter primært forløb;637,0
antal;cases;notprevpos;12;2022;20-29;Fuld effekt efter revaccination;2270,0
antal;cases;notprevpos;11;2022;20-29;Ingen vaccination;540,0
antal;cases;notprevpos;11;2022;20-29;Første vaccination;58,0
antal;cases;notprevpos;11;2022;20-29;Anden vaccination;4229,0
antal;cases;notprevpos;11;2022;20-29;Fuld effekt efter primært forløb;1004,0
antal;cases;notprevpos;11;2022;20-29;Fuld effekt efter revaccination;3224,0
antal;cases;notprevpos;10;2022;20-29;Ingen vaccination;927,0
antal;cases;notprevpos;10;2022;20-29;Første vaccination;102,0
antal;cases;notprevpos;10;2022;20-29;Anden vaccination;7650,0
antal;cases;notprevpos;10;2022;20-29;Fuld effekt efter primært forløb;1740,0
antal;cases;notprevpos;10;2022;20-29;Fuld effekt efter revaccination;5908,0
antal;cases;notprevpos;9;2022;20-29;Ingen vaccination;1284,0
antal;cases;notprevpos;9;2022;20-29;Første vaccination;162,0
antal;cases;notprevpos;9;2022;20-29;Anden vaccination;10538,0
antal;cases;notprevpos;9;2022;20-29;Fuld effekt efter primært forløb;2478,0
antal;cases;notprevpos;9;2022;20-29;Fuld effekt efter revaccination;8052,0
antal;cases;notprevpos;8;2022;20-29;Ingen vaccination;1996,0
antal;cases;notprevpos;8;2022;20-29;Første vaccination;220,0
antal;cases;notprevpos;8;2022;20-29;Anden vaccination;17328,0
antal;cases;notprevpos;8;2022;20-29;Fuld effekt efter primært forløb;4214,0
antal;cases;notprevpos;8;2022;20-29;Fuld effekt efter revaccination;13088,0
antal;cases;notprevpos;7;2022;20-29;Ingen vaccination;3906,0
antal;cases;notprevpos;7;2022;20-29;Første vaccination;433,0
antal;cases;notprevpos;7;2022;20-29;Anden vaccination;30513,0
antal;cases;notprevpos;7;2022;20-29;Fuld effekt efter primært forløb;8098,0
antal;cases;notprevpos;7;2022;20-29;Fuld effekt efter revaccination;22366,0
antal;cases;notprevpos;6;2022;20-29;Ingen vaccination;6019,0
antal;cases;notprevpos;6;2022;20-29;Første vaccination;739,0
antal;cases;notprevpos;6;2022;20-29;Anden vaccination;44534,0
antal;cases;notprevpos;6;2022;20-29;Fuld effekt efter primært forløb;12894,0
antal;cases;notprevpos;6;2022;20-29;Fuld effekt efter revaccination;31547,0
antal;cases;notprevpos;5;2022;20-29;Ingen vaccination;4917,0
antal;cases;notprevpos;5;2022;20-29;Første vaccination;567,0
antal;cases;notprevpos;5;2022;20-29;Anden vaccination;28765,0
antal;cases;notprevpos;5;2022;20-29;Fuld effekt efter primært forløb;10578,0
antal;cases;notprevpos;5;2022;20-29;Fuld effekt efter revaccination;18083,0
antal;cases;notprevpos;4;2022;20-29;Ingen vaccination;5088,0
antal;cases;notprevpos;4;2022;20-29;Første vaccination;658,0
antal;cases;notprevpos;4;2022;20-29;Anden vaccination;25516,0
antal;cases;notprevpos;4;2022;20-29;Fuld effekt efter primært forløb;13073,0
antal;cases;notprevpos;4;2022;20-29;Fuld effekt efter revaccination;12280,0
antal;cases;notprevpos;3;2022;20-29;Ingen vaccination;5200,0
antal;cases;notprevpos;3;2022;20-29;Første vaccination;708,0
antal;cases;notprevpos;3;2022;20-29;Anden vaccination;23287,0
antal;cases;notprevpos;3;2022;20-29;Fuld effekt efter primært forløb;15302,0
antal;cases;notprevpos;3;2022;20-29;Fuld effekt efter revaccination;7773,0
antal;cases;notprevpos;2;2022;20-29;Ingen vaccination;4091,0
antal;cases;notprevpos;2;2022;20-29;Første vaccination;587,0
antal;cases;notprevpos;2;2022;20-29;Anden vaccination;17858,0
antal;cases;notprevpos;2;2022;20-29;Fuld effekt efter primært forløb;14032,0
antal;cases;notprevpos;2;2022;20-29;Fuld effekt efter revaccination;3627,0
antal;cases;notprevpos;1;2022;20-29;Ingen vaccination;4695,0
antal;cases;notprevpos;1;2022;20-29;Første vaccination;868,0
antal;cases;notprevpos;1;2022;20-29;Anden vaccination;23990,0
antal;cases;notprevpos;1;2022;20-29;Fuld effekt efter primært forløb;21795,0
antal;cases;notprevpos;1;2022;20-29;Fuld effekt efter revaccination;1988,0
antal;cases;notprevpos;52;2021;20-29;Ingen vaccination;3884,0
antal;cases;notprevpos;52;2021;20-29;Første vaccination;792,0
antal;cases;notprevpos;52;2021;20-29;Anden vaccination;20276,0
antal;cases;notprevpos;52;2021;20-29;Fuld effekt efter primært forløb;19047,0
antal;cases;notprevpos;52;2021;20-29;Fuld effekt efter revaccination;1008,0
antal;cases;notprevpos;51;2021;20-29;Ingen vaccination;2242,0
