"Prøvedato";"Region";"infected";"Antal borgere";"Type af tilfælde (reinfektion eller bekræftet tilfælde)";"type_count"
2021-01-07;Midtjylland;336;1329540;2.Bekræftede tilfælde;2
2021-01-07;Nordjylland;1;589994;1.Reinfektion;1
2021-01-07;Nordjylland;144;589994;2.Bekræftede tilfælde;2
2021-01-07;Sjælland;0;837221;1.Reinfektion;1
2021-01-07;Sjælland;248;837221;2.Bekræftede tilfælde;2
2021-01-07;Syddanmark;0;1222145;1.Reinfektion;1
2021-01-07;Syddanmark;272;1222145;2.Bekræftede tilfælde;2
2021-01-08;Hovedstaden;1;1849689;1.Reinfektion;1
2021-01-08;Hovedstaden;606;1849689;2.Bekræftede tilfælde;2
2021-01-08;Midtjylland;1;1329540;1.Reinfektion;1
2021-01-08;Midtjylland;253;1329540;2.Bekræftede tilfælde;2
2021-01-08;Nordjylland;2;589994;1.Reinfektion;1
2021-01-08;Nordjylland;116;589994;2.Bekræftede tilfælde;2
2021-01-08;Sjælland;1;837221;1.Reinfektion;1
2021-01-08;Sjælland;221;837221;2.Bekræftede tilfælde;2
2021-01-08;Syddanmark;1;1222145;1.Reinfektion;1
2021-01-08;Syddanmark;227;1222145;2.Bekræftede tilfælde;2
2021-01-09;Hovedstaden;2;1849689;1.Reinfektion;1
2021-01-09;Hovedstaden;480;1849689;2.Bekræftede tilfælde;2
2021-01-09;Midtjylland;0;1329540;1.Reinfektion;1
2021-01-09;Midtjylland;219;1329540;2.Bekræftede tilfælde;2
2021-01-09;Nordjylland;0;589994;1.Reinfektion;1
2021-01-09;Nordjylland;101;589994;2.Bekræftede tilfælde;2
2021-01-09;Sjælland;0;837221;1.Reinfektion;1
2021-01-09;Sjælland;211;837221;2.Bekræftede tilfælde;2
2021-01-09;Syddanmark;0;1222145;1.Reinfektion;1
2021-01-09;Syddanmark;174;1222145;2.Bekræftede tilfælde;2
2021-01-10;Hovedstaden;0;1849689;1.Reinfektion;1
2021-01-10;Hovedstaden;408;1849689;2.Bekræftede tilfælde;2
2021-01-10;Midtjylland;0;1329540;1.Reinfektion;1
2021-01-10;Midtjylland;185;1329540;2.Bekræftede tilfælde;2
2021-01-10;Nordjylland;0;589994;1.Reinfektion;1
2021-01-10;Nordjylland;81;589994;2.Bekræftede tilfælde;2
2021-01-10;Sjælland;0;837221;1.Reinfektion;1
2021-01-10;Sjælland;166;837221;2.Bekræftede tilfælde;2
2021-01-10;Syddanmark;0;1222145;1.Reinfektion;1
2021-01-10;Syddanmark;149;1222145;2.Bekræftede tilfælde;2
2021-01-11;Hovedstaden;2;1849689;1.Reinfektion;1
2021-01-11;Hovedstaden;614;1849689;2.Bekræftede tilfælde;2
2021-01-11;Midtjylland;1;1329540;1.Reinfektion;1
2021-01-11;Midtjylland;196;1329540;2.Bekræftede tilfælde;2
2021-01-11;Nordjylland;0;589994;1.Reinfektion;1
2021-01-11;Nordjylland;107;589994;2.Bekræftede tilfælde;2
2021-01-11;Sjælland;1;837221;1.Reinfektion;1
2021-01-11;Sjælland;224;837221;2.Bekræftede tilfælde;2
2021-01-11;Syddanmark;2;1222145;1.Reinfektion;1
2021-01-11;Syddanmark;205;1222145;2.Bekræftede tilfælde;2
2021-01-12;Hovedstaden;4;1849689;1.Reinfektion;1
2021-01-12;Hovedstaden;586;1849689;2.Bekræftede tilfælde;2
2021-01-12;Midtjylland;2;1329540;1.Reinfektion;1
2021-01-12;Midtjylland;178;1329540;2.Bekræftede tilfælde;2
2021-01-12;Nordjylland;1;589994;1.Reinfektion;1
2021-01-12;Nordjylland;104;589994;2.Bekræftede tilfælde;2
2021-01-12;Sjælland;0;837221;1.Reinfektion;1
2021-01-12;Sjælland;232;837221;2.Bekræftede tilfælde;2
2021-01-12;Syddanmark;0;1222145;1.Reinfektion;1
2021-01-12;Syddanmark;152;1222145;2.Bekræftede tilfælde;2
2021-01-13;Hovedstaden;3;1849689;1.Reinfektion;1
2021-01-13;Hovedstaden;513;1849689;2.Bekræftede tilfælde;2
2021-01-13;Midtjylland;0;1329540;1.Reinfektion;1
2021-01-13;Midtjylland;171;1329540;2.Bekræftede tilfælde;2
2021-01-13;Nordjylland;1;589994;1.Reinfektion;1
2021-01-13;Nordjylland;119;589994;2.Bekræftede tilfælde;2
2021-01-13;Sjælland;1;837221;1.Reinfektion;1
2021-01-13;Sjælland;157;837221;2.Bekræftede tilfælde;2
2021-01-13;Syddanmark;0;1222145;1.Reinfektion;1
2021-01-13;Syddanmark;151;1222145;2.Bekræftede tilfælde;2
2021-01-14;Hovedstaden;2;1849689;1.Reinfektion;1
2021-01-14;Hovedstaden;421;1849689;2.Bekræftede tilfælde;2
2021-01-14;Midtjylland;0;1329540;1.Reinfektion;1
2021-01-14;Midtjylland;187;1329540;2.Bekræftede tilfælde;2
2021-01-14;Nordjylland;2;589994;1.Reinfektion;1
2021-01-14;Nordjylland;96;589994;2.Bekræftede tilfælde;2
2021-01-14;Sjælland;2;837221;1.Reinfektion;1
2021-01-14;Sjælland;146;837221;2.Bekræftede tilfælde;2
2021-01-14;Syddanmark;0;1222145;1.Reinfektion;1
2021-01-14;Syddanmark;150;1222145;2.Bekræftede tilfælde;2
2021-01-15;Hovedstaden;2;1849689;1.Reinfektion;1
2021-01-15;Hovedstaden;390;1849689;2.Bekræftede tilfælde;2
2021-01-15;Midtjylland;0;1329540;1.Reinfektion;1
2021-01-15;Midtjylland;117;1329540;2.Bekræftede tilfælde;2
2021-01-15;Nordjylland;2;589994;1.Reinfektion;1
2021-01-15;Nordjylland;83;589994;2.Bekræftede tilfælde;2
2021-01-15;Sjælland;1;837221;1.Reinfektion;1
2021-01-15;Sjælland;132;837221;2.Bekræftede tilfælde;2
2021-01-15;Syddanmark;0;1222145;1.Reinfektion;1
2021-01-15;Syddanmark;128;1222145;2.Bekræftede tilfælde;2
2021-01-16;Hovedstaden;1;1849689;1.Reinfektion;1
2021-01-16;Hovedstaden;339;1849689;2.Bekræftede tilfælde;2
2021-01-16;Midtjylland;0;1329540;1.Reinfektion;1
2021-01-16;Midtjylland;72;1329540;2.Bekræftede tilfælde;2
2021-01-16;Nordjylland;0;589994;1.Reinfektion;1
2021-01-16;Nordjylland;74;589994;2.Bekræftede tilfælde;2
2021-01-16;Sjælland;1;837221;1.Reinfektion;1
2021-01-16;Sjælland;105;837221;2.Bekræftede tilfælde;2
2021-01-16;Syddanmark;0;1222145;1.Reinfektion;1
2021-01-16;Syddanmark;127;1222145;2.Bekræftede tilfælde;2
2021-01-17;Hovedstaden;2;1849689;1.Reinfektion;1
2021-01-17;Hovedstaden;319;1849689;2.Bekræftede tilfælde;2
2021-01-17;Midtjylland;0;1329540;1.Reinfektion;1
2021-01-17;Midtjylland;78;1329540;2.Bekræftede tilfælde;2
2021-01-17;Nordjylland;0;589994;1.Reinfektion;1
2021-01-17;Nordjylland;65;589994;2.Bekræftede tilfælde;2
2021-01-17;Sjælland;0;837221;1.Reinfektion;1
2021-01-17;Sjælland;115;837221;2.Bekræftede tilfælde;2
2021-01-17;Syddanmark;1;1222145;1.Reinfektion;1
2021-01-17;Syddanmark;97;1222145;2.Bekræftede tilfælde;2
2021-01-18;Hovedstaden;5;1849689;1.Reinfektion;1
2021-01-18;Hovedstaden;440;1849689;2.Bekræftede tilfælde;2
2021-01-18;Midtjylland;1;1329540;1.Reinfektion;1
2021-01-18;Midtjylland;119;1329540;2.Bekræftede tilfælde;2
2021-01-18;Nordjylland;1;589994;1.Reinfektion;1
2021-01-18;Nordjylland;74;589994;2.Bekræftede tilfælde;2
2021-01-18;Sjælland;1;837221;1.Reinfektion;1
2021-01-18;Sjælland;138;837221;2.Bekræftede tilfælde;2
2021-01-18;Syddanmark;0;1222145;1.Reinfektion;1
2021-01-18;Syddanmark;152;1222145;2.Bekræftede tilfælde;2
2021-01-19;Hovedstaden;0;1849689;1.Reinfektion;1
2021-01-19;Hovedstaden;362;1849689;2.Bekræftede tilfælde;2
2021-01-19;Midtjylland;0;1329540;1.Reinfektion;1
2021-01-19;Midtjylland;112;1329540;2.Bekræftede tilfælde;2
2021-01-19;Nordjylland;1;589994;1.Reinfektion;1
2021-01-19;Nordjylland;93;589994;2.Bekræftede tilfælde;2
2021-01-19;Sjælland;0;837221;1.Reinfektion;1
2021-01-19;Sjælland;164;837221;2.Bekræftede tilfælde;2
2021-01-19;Syddanmark;1;1222145;1.Reinfektion;1
2021-01-19;Syddanmark;181;1222145;2.Bekræftede tilfælde;2
2021-01-20;Hovedstaden;1;1849689;1.Reinfektion;1
2021-01-20;Hovedstaden;316;1849689;2.Bekræftede tilfælde;2
2021-01-20;Midtjylland;1;1329540;1.Reinfektion;1
2021-01-20;Midtjylland;110;1329540;2.Bekræftede tilfælde;2
2021-01-20;Nordjylland;0;589994;1.Reinfektion;1
2021-01-20;Nordjylland;80;589994;2.Bekræftede tilfælde;2
2021-01-20;Sjælland;0;837221;1.Reinfektion;1
2021-01-20;Sjælland;149;837221;2.Bekræftede tilfælde;2
2021-01-20;Syddanmark;1;1222145;1.Reinfektion;1
2021-01-20;Syddanmark;118;1222145;2.Bekræftede tilfælde;2
2021-01-21;Hovedstaden;2;1849689;1.Reinfektion;1
2021-01-21;Hovedstaden;376;1849689;2.Bekræftede tilfælde;2
2021-01-21;Midtjylland;0;1329540;1.Reinfektion;1
2021-01-21;Midtjylland;119;1329540;2.Bekræftede tilfælde;2
2021-01-21;Nordjylland;0;589994;1.Reinfektion;1
2021-01-21;Nordjylland;75;589994;2.Bekræftede tilfælde;2
2021-01-21;Sjælland;0;837221;1.Reinfektion;1
2021-01-21;Sjælland;146;837221;2.Bekræftede tilfælde;2
2021-01-21;Syddanmark;3;1222145;1.Reinfektion;1
2021-01-21;Syddanmark;135;1222145;2.Bekræftede tilfælde;2
2021-01-22;Hovedstaden;3;1849689;1.Reinfektion;1
2021-01-22;Hovedstaden;286;1849689;2.Bekræftede tilfælde;2
2021-01-22;Midtjylland;0;1329540;1.Reinfektion;1
2021-01-22;Midtjylland;94;1329540;2.Bekræftede tilfælde;2
2021-01-22;Nordjylland;1;589994;1.Reinfektion;1
2021-01-22;Nordjylland;83;589994;2.Bekræftede tilfælde;2
2021-01-22;Sjælland;0;837221;1.Reinfektion;1
2021-01-22;Sjælland;130;837221;2.Bekræftede tilfælde;2
2021-01-22;Syddanmark;1;1222145;1.Reinfektion;1
2021-01-22;Syddanmark;116;1222145;2.Bekræftede tilfælde;2
2021-01-23;Hovedstaden;0;1849689;1.Reinfektion;1
2021-01-23;Hovedstaden;257;1849689;2.Bekræftede tilfælde;2
2021-01-23;Midtjylland;0;1329540;1.Reinfektion;1
2021-01-23;Midtjylland;84;1329540;2.Bekræftede tilfælde;2
2021-01-23;Nordjylland;1;589994;1.Reinfektion;1
2021-01-23;Nordjylland;44;589994;2.Bekræftede tilfælde;2
2021-01-23;Sjælland;0;837221;1.Reinfektion;1
2021-01-23;Sjælland;100;837221;2.Bekræftede tilfælde;2
2021-01-23;Syddanmark;2;1222145;1.Reinfektion;1
2021-01-23;Syddanmark;103;1222145;2.Bekræftede tilfælde;2
2021-01-24;Hovedstaden;1;1849689;1.Reinfektion;1
2021-01-24;Hovedstaden;245;1849689;2.Bekræftede tilfælde;2
2021-01-24;Midtjylland;0;1329540;1.Reinfektion;1
2021-01-24;Midtjylland;55;1329540;2.Bekræftede tilfælde;2
2021-01-24;Nordjylland;0;589994;1.Reinfektion;1
2021-01-24;Nordjylland;57;589994;2.Bekræftede tilfælde;2
2021-01-24;Sjælland;0;837221;1.Reinfektion;1
2021-01-24;Sjælland;84;837221;2.Bekræftede tilfælde;2
2021-01-24;Syddanmark;1;1222145;1.Reinfektion;1
2021-01-24;Syddanmark;71;1222145;2.Bekræftede tilfælde;2
2021-01-25;Hovedstaden;1;1849689;1.Reinfektion;1
2021-01-25;Hovedstaden;331;1849689;2.Bekræftede tilfælde;2
2021-01-25;Midtjylland;1;1329540;1.Reinfektion;1
2021-01-25;Midtjylland;83;1329540;2.Bekræftede tilfælde;2
2021-01-25;Nordjylland;1;589994;1.Reinfektion;1
2021-01-25;Nordjylland;51;589994;2.Bekræftede tilfælde;2
2021-01-25;Sjælland;0;837221;1.Reinfektion;1
2021-01-25;Sjælland;131;837221;2.Bekræftede tilfælde;2
2021-01-25;Syddanmark;0;1222145;1.Reinfektion;1
2021-01-25;Syddanmark;123;1222145;2.Bekræftede tilfælde;2
2021-01-26;Hovedstaden;5;1849689;1.Reinfektion;1
2021-01-26;Hovedstaden;274;1849689;2.Bekræftede tilfælde;2
2021-01-26;Midtjylland;1;1329540;1.Reinfektion;1
2021-01-26;Midtjylland;94;1329540;2.Bekræftede tilfælde;2
2021-01-26;Nordjylland;0;589994;1.Reinfektion;1
2021-01-26;Nordjylland;67;589994;2.Bekræftede tilfælde;2
2021-01-26;Sjælland;0;837221;1.Reinfektion;1
2021-01-26;Sjælland;135;837221;2.Bekræftede tilfælde;2
2021-01-26;Syddanmark;0;1222145;1.Reinfektion;1
2021-01-26;Syddanmark;106;1222145;2.Bekræftede tilfælde;2
2021-01-27;Hovedstaden;0;1849689;1.Reinfektion;1
2021-01-27;Hovedstaden;250;1849689;2.Bekræftede tilfælde;2
2021-01-27;Midtjylland;2;1329540;1.Reinfektion;1
2021-01-27;Midtjylland;63;1329540;2.Bekræftede tilfælde;2
2021-01-27;Nordjylland;0;589994;1.Reinfektion;1
2021-01-27;Nordjylland;36;589994;2.Bekræftede tilfælde;2
2021-01-27;Sjælland;0;837221;1.Reinfektion;1
2021-01-27;Sjælland;102;837221;2.Bekræftede tilfælde;2
2021-01-27;Syddanmark;0;1222145;1.Reinfektion;1
2021-01-27;Syddanmark;79;1222145;2.Bekræftede tilfælde;2
2021-01-28;Hovedstaden;1;1849689;1.Reinfektion;1
2021-01-28;Hovedstaden;236;1849689;2.Bekræftede tilfælde;2
2021-01-28;Midtjylland;1;1329540;1.Reinfektion;1
2021-01-28;Midtjylland;71;1329540;2.Bekræftede tilfælde;2
2021-01-28;Nordjylland;1;589994;1.Reinfektion;1
2021-01-28;Nordjylland;39;589994;2.Bekræftede tilfælde;2
2021-01-28;Sjælland;0;837221;1.Reinfektion;1
2021-01-28;Sjælland;82;837221;2.Bekræftede tilfælde;2
2021-01-28;Syddanmark;1;1222145;1.Reinfektion;1
2021-01-28;Syddanmark;69;1222145;2.Bekræftede tilfælde;2
2021-01-29;Hovedstaden;0;1849689;1.Reinfektion;1
2021-01-29;Hovedstaden;183;1849689;2.Bekræftede tilfælde;2
2021-01-29;Midtjylland;1;1329540;1.Reinfektion;1
2021-01-29;Midtjylland;45;1329540;2.Bekræftede tilfælde;2
2021-01-29;Nordjylland;0;589994;1.Reinfektion;1
2021-01-29;Nordjylland;31;589994;2.Bekræftede tilfælde;2
2021-01-29;Sjælland;2;837221;1.Reinfektion;1
2021-01-29;Sjælland;62;837221;2.Bekræftede tilfælde;2
2021-01-29;Syddanmark;1;1222145;1.Reinfektion;1
2021-01-29;Syddanmark;81;1222145;2.Bekræftede tilfælde;2
2021-01-30;Hovedstaden;3;1849689;1.Reinfektion;1
2021-01-30;Hovedstaden;165;1849689;2.Bekræftede tilfælde;2
2021-01-30;Midtjylland;1;1329540;1.Reinfektion;1
2021-01-30;Midtjylland;38;1329540;2.Bekræftede tilfælde;2
2021-01-30;Nordjylland;0;589994;1.Reinfektion;1
2021-01-30;Nordjylland;28;589994;2.Bekræftede tilfælde;2
2021-01-30;Sjælland;0;837221;1.Reinfektion;1
2021-01-30;Sjælland;56;837221;2.Bekræftede tilfælde;2
2021-01-30;Syddanmark;0;1222145;1.Reinfektion;1
2021-01-30;Syddanmark;70;1222145;2.Bekræftede tilfælde;2
2021-01-31;Hovedstaden;7;1849689;1.Reinfektion;1
2021-01-31;Hovedstaden;176;1849689;2.Bekræftede tilfælde;2
2021-01-31;Midtjylland;0;1329540;1.Reinfektion;1
2021-01-31;Midtjylland;45;1329540;2.Bekræftede tilfælde;2
2021-01-31;Nordjylland;0;589994;1.Reinfektion;1
2021-01-31;Nordjylland;32;589994;2.Bekræftede tilfælde;2
2021-01-31;Sjælland;1;837221;1.Reinfektion;1
2021-01-31;Sjælland;61;837221;2.Bekræftede tilfælde;2
2021-01-31;Syddanmark;1;1222145;1.Reinfektion;1
2021-01-31;Syddanmark;66;1222145;2.Bekræftede tilfælde;2
2021-02-01;Hovedstaden;6;1848664;1.Reinfektion;1
2021-02-01;Hovedstaden;207;1848664;2.Bekræftede tilfælde;2
2021-02-01;Midtjylland;0;1329739;1.Reinfektion;1
2021-02-01;Midtjylland;65;1329739;2.Bekræftede tilfælde;2
2021-02-01;Nordjylland;0;589671;1.Reinfektion;1
2021-02-01;Nordjylland;47;589671;2.Bekræftede tilfælde;2
2021-02-01;Sjælland;0;837231;1.Reinfektion;1
2021-02-01;Sjælland;88;837231;2.Bekræftede tilfælde;2
2021-02-01;Syddanmark;0;1222076;1.Reinfektion;1
2021-02-01;Syddanmark;93;1222076;2.Bekræftede tilfælde;2
2021-02-02;Hovedstaden;4;1848664;1.Reinfektion;1
2021-02-02;Hovedstaden;206;1848664;2.Bekræftede tilfælde;2
2021-02-02;Midtjylland;1;1329739;1.Reinfektion;1
2021-02-02;Midtjylland;62;1329739;2.Bekræftede tilfælde;2
2021-02-02;Nordjylland;0;589671;1.Reinfektion;1
2021-02-02;Nordjylland;45;589671;2.Bekræftede tilfælde;2
2021-02-02;Sjælland;1;837231;1.Reinfektion;1
2021-02-02;Sjælland;76;837231;2.Bekræftede tilfælde;2
2021-02-02;Syddanmark;0;1222076;1.Reinfektion;1
2021-02-02;Syddanmark;93;1222076;2.Bekræftede tilfælde;2
2021-02-03;Hovedstaden;3;1848664;1.Reinfektion;1
2021-02-03;Hovedstaden;156;1848664;2.Bekræftede tilfælde;2
2021-02-03;Midtjylland;0;1329739;1.Reinfektion;1
2021-02-03;Midtjylland;55;1329739;2.Bekræftede tilfælde;2
2021-02-03;Nordjylland;0;589671;1.Reinfektion;1
2021-02-03;Nordjylland;42;589671;2.Bekræftede tilfælde;2
2021-02-03;Sjælland;0;837231;1.Reinfektion;1
2021-02-03;Sjælland;72;837231;2.Bekræftede tilfælde;2
2021-02-03;Syddanmark;1;1222076;1.Reinfektion;1
2021-02-03;Syddanmark;99;1222076;2.Bekræftede tilfælde;2
2021-02-04;Hovedstaden;1;1848664;1.Reinfektion;1
2021-02-04;Hovedstaden;197;1848664;2.Bekræftede tilfælde;2
2021-02-04;Midtjylland;1;1329739;1.Reinfektion;1
2021-02-04;Midtjylland;68;1329739;2.Bekræftede tilfælde;2
2021-02-04;Nordjylland;0;589671;1.Reinfektion;1
2021-02-04;Nordjylland;30;589671;2.Bekræftede tilfælde;2
2021-02-04;Sjælland;1;837231;1.Reinfektion;1
2021-02-04;Sjælland;74;837231;2.Bekræftede tilfælde;2
2021-02-04;Syddanmark;0;1222076;1.Reinfektion;1
2021-02-04;Syddanmark;69;1222076;2.Bekræftede tilfælde;2
2021-02-05;Hovedstaden;4;1848664;1.Reinfektion;1
2021-02-05;Hovedstaden;168;1848664;2.Bekræftede tilfælde;2
2021-02-05;Midtjylland;0;1329739;1.Reinfektion;1
2021-02-05;Midtjylland;67;1329739;2.Bekræftede tilfælde;2
2021-02-05;Nordjylland;0;589671;1.Reinfektion;1
2021-02-05;Nordjylland;33;589671;2.Bekræftede tilfælde;2
2021-02-05;Sjælland;0;837231;1.Reinfektion;1
2021-02-05;Sjælland;61;837231;2.Bekræftede tilfælde;2
2021-02-05;Syddanmark;0;1222076;1.Reinfektion;1
2021-02-05;Syddanmark;75;1222076;2.Bekræftede tilfælde;2
2021-02-06;Hovedstaden;3;1848664;1.Reinfektion;1
2021-02-06;Hovedstaden;167;1848664;2.Bekræftede tilfælde;2
2021-02-06;Midtjylland;2;1329739;1.Reinfektion;1
2021-02-06;Midtjylland;69;1329739;2.Bekræftede tilfælde;2
2021-02-06;Nordjylland;0;589671;1.Reinfektion;1
2021-02-06;Nordjylland;30;589671;2.Bekræftede tilfælde;2
2021-02-06;Sjælland;0;837231;1.Reinfektion;1
2021-02-06;Sjælland;67;837231;2.Bekræftede tilfælde;2
2021-02-06;Syddanmark;2;1222076;1.Reinfektion;1
2021-02-06;Syddanmark;94;1222076;2.Bekræftede tilfælde;2
2021-02-07;Hovedstaden;1;1848664;1.Reinfektion;1
2021-02-07;Hovedstaden;170;1848664;2.Bekræftede tilfælde;2
2021-02-07;Midtjylland;1;1329739;1.Reinfektion;1
2021-02-07;Midtjylland;76;1329739;2.Bekræftede tilfælde;2
2021-02-07;Nordjylland;0;589671;1.Reinfektion;1
2021-02-07;Nordjylland;33;589671;2.Bekræftede tilfælde;2
2021-02-07;Sjælland;0;837231;1.Reinfektion;1
2021-02-07;Sjælland;46;837231;2.Bekræftede tilfælde;2
2021-02-07;Syddanmark;0;1222076;1.Reinfektion;1
2021-02-07;Syddanmark;62;1222076;2.Bekræftede tilfælde;2
2021-02-08;Hovedstaden;4;1848664;1.Reinfektion;1
2021-02-08;Hovedstaden;160;1848664;2.Bekræftede tilfælde;2
2021-02-08;Midtjylland;0;1329739;1.Reinfektion;1
2021-02-08;Midtjylland;67;1329739;2.Bekræftede tilfælde;2
2021-02-08;Nordjylland;0;589671;1.Reinfektion;1
2021-02-08;Nordjylland;38;589671;2.Bekræftede tilfælde;2
2021-02-08;Sjælland;0;837231;1.Reinfektion;1
2021-02-08;Sjælland;103;837231;2.Bekræftede tilfælde;2
2021-02-08;Syddanmark;1;1222076;1.Reinfektion;1
2021-02-08;Syddanmark;69;1222076;2.Bekræftede tilfælde;2
2021-02-09;Hovedstaden;0;1848664;1.Reinfektion;1
2021-02-09;Hovedstaden;178;1848664;2.Bekræftede tilfælde;2
2021-02-09;Midtjylland;0;1329739;1.Reinfektion;1
2021-02-09;Midtjylland;72;1329739;2.Bekræftede tilfælde;2
2021-02-09;Nordjylland;1;589671;1.Reinfektion;1
2021-02-09;Nordjylland;36;589671;2.Bekræftede tilfælde;2
2021-02-09;Sjælland;1;837231;1.Reinfektion;1
2021-02-09;Sjælland;73;837231;2.Bekræftede tilfælde;2
2021-02-09;Syddanmark;1;1222076;1.Reinfektion;1
2021-02-09;Syddanmark;98;1222076;2.Bekræftede tilfælde;2
2021-02-10;Hovedstaden;2;1848664;1.Reinfektion;1
2021-02-10;Hovedstaden;176;1848664;2.Bekræftede tilfælde;2
2021-02-10;Midtjylland;0;1329739;1.Reinfektion;1
2021-02-10;Midtjylland;88;1329739;2.Bekræftede tilfælde;2
2021-02-10;Nordjylland;0;589671;1.Reinfektion;1
2021-02-10;Nordjylland;44;589671;2.Bekræftede tilfælde;2
2021-02-10;Sjælland;0;837231;1.Reinfektion;1
2021-02-10;Sjælland;62;837231;2.Bekræftede tilfælde;2
2021-02-10;Syddanmark;1;1222076;1.Reinfektion;1
2021-02-10;Syddanmark;75;1222076;2.Bekræftede tilfælde;2
2021-02-11;Hovedstaden;2;1848664;1.Reinfektion;1
2021-02-11;Hovedstaden;148;1848664;2.Bekræftede tilfælde;2
2021-02-11;Midtjylland;2;1329739;1.Reinfektion;1
2021-02-11;Midtjylland;59;1329739;2.Bekræftede tilfælde;2
2021-02-11;Nordjylland;1;589671;1.Reinfektion;1
2021-02-11;Nordjylland;20;589671;2.Bekræftede tilfælde;2
2021-02-11;Sjælland;0;837231;1.Reinfektion;1
2021-02-11;Sjælland;82;837231;2.Bekræftede tilfælde;2
2021-02-11;Syddanmark;4;1222076;1.Reinfektion;1
